occurrence_id,classification,type of occurrence,localization,fu,country,aerodrome,time,under_investigation,investigating_command,investigation_status,publication_day,aircrafts_involved,takeoff,CONTAGEM,ano,dia,mes
26140,ACCIDENT,LOSS OF CONTROL IN THE AIR,ANGRA DOS REIS,RJ,BRAZIL,Nao informado,20:00:00,YES,SERIPA-3,FINISHED,2009-12-30,1,0.0,1,2006,22,01
26179,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,LUIZ ALVES,SC,BRAZIL,Nao informado,10:15:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,18,02
26259,SERIOUS INCIDENT,FIRE DURING THE FLIGHT,SÃO PAULO,SP,BRAZIL,Nao informado,00:45:00,YES,CENIPA,FINISHED,2013-07-30,1,0.0,1,2006,20,01
26421,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,QUERÊNCIA DO NORTE,PR,BRAZIL,Nao informado,11:00:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,18,02
26439,ACCIDENT,ABOUT LANDING GEAR,MANAUS,AM,BRAZIL,SWFN,19:15:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2006,03,03
26480,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,PIRAQUARA,PR,BRAZIL,Nao informado,11:28:00,YES,SERIPA-5,FINISHED,2010-05-05,1,0.0,1,2006,15,03
26521,ACCIDENT,UNKNOWN,BOA VISTA,RR,BRAZIL,Nao informado,10:38:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2006,21,03
26559,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,GUARULHOS,SP,BRAZIL,SBGR,01:54:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2006,13,02
26560,SERIOUS INCIDENT,METEOROLOGICAL PHENOMENOM IN THE AIR,SÃO PAULO,SP,BRAZIL,SBSP,02:00:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2006,28,03
26562,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,SÃO PAULO,SP,BRAZIL,SBSP,19:35:00,YES,SERIPA-4,FINISHED,2006-10-09,1,1.0,1,2006,22,03
26609,ACCIDENT,LOW ALTITUDE MANEUVERS,CAMPO NOVO DO PARECIS,MT,BRAZIL,Nao informado,13:00:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,26,03
26610,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,NOVA MARINGÁ,MT,BRAZIL,SWCY,15:30:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,24,03
26619,ACCIDENT,LOSS OF CONTROL ON THE GROUND,BARUERI,SP,BRAZIL,SDWS,18:40:00,YES,SERIPA-4,FINISHED,2010-11-12,1,0.0,1,2006,03,03
26620,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,RIO BONITO,RJ,BRAZIL,Nao informado,20:38:00,YES,SERIPA-3,FINISHED,2007-03-19,1,0.0,1,2006,31,03
26621,ACCIDENT,LOSS OF CONTROL IN THE AIR,CAMPO NOVO DO PARECIS,MT,BRAZIL,Nao informado,13:15:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,07,03
26622,SERIOUS INCIDENT,LANDING ON UNPREDICTABLE PLACE,VITÓRIA,ES,BRAZIL,Nao informado,00:14:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2006,05,03
26642,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,TAIÓ,SC,BRAZIL,Nao informado,03:00:00,YES,SERIPA-5,FINISHED,2009-08-05,1,0.0,1,2006,31,03
26643,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,APIACÁS,MT,BRAZIL,Nao informado,16:30:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,21,03
26660,ACCIDENT,LOSS OF CONTROL IN THE AIR,RIO DE JANEIRO,RJ,BRAZIL,Nao informado,16:57:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2006,28,02
26679,ACCIDENT,LOSS OF CONTROL ON THE GROUND,CONCÓRDIA,SC,BRAZIL,Nao informado,16:50:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,1.0,1,2006,12,04
26719,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SÃO PAULO,SP,BRAZIL,Nao informado,17:00:00,YES,SERIPA-4,FINISHED,2009-08-28,1,0.0,1,2006,27,04
26720,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,QUATRO BARRAS,PR,BRAZIL,Nao informado,13:00:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,26,04
26723,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,IJUÍ,RS,BRAZIL,SSIJ,13:00:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,1.0,1,2006,23,04
26759,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ALTO ARAGUAIA,MT,BRAZIL,Nao informado,13:10:00,YES,SERIPA-6,FINISHED,2009-10-09,1,0.0,1,2006,08,05
26779,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SÃO GONÇALO DO AMARANTE,RN,BRAZIL,Nao informado,10:10:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2006,05,05
26780,ACCIDENT,LOSS OF CONTROL IN THE AIR,VILA VELHA,ES,BRAZIL,Nao informado,11:15:00,YES,SERIPA-3,FINISHED,2010-08-18,1,0.0,1,2006,16,02
26860,ACCIDENT,TERRAIN COLLISION,MOGI DAS CRUZES,SP,BRAZIL,Nao informado,13:30:00,YES,SERIPA-4,FINISHED,2012-08-08,1,0.0,1,2006,05,05
26861,SERIOUS INCIDENT,EXPLOSIVE / NOT INTENTIONAL DECOMPRESSION,NÃO IDENTIFICADA,MG,BRAZIL,Nao informado,14:00:00,YES,CENIPA,IN PROGRESS,UNKNOWN,1,0.0,1,2006,28,04
26902,ACCIDENT,FIRE ON THE GROUND,COXIM,MS,BRAZIL,Nao informado,13:30:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2006,09,03
26959,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,BRAGANÇA PAULISTA,SP,BRAZIL,SBBP,10:30:00,YES,SERIPA-4,FINISHED,2012-06-04,1,1.0,1,2006,15,05
26960,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ANADIA,AL,BRAZIL,Nao informado,13:00:00,YES,SERIPA-2,FINISHED,2009-12-30,1,0.0,1,2006,23,04
26980,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,BRASÍLIA,DF,BRAZIL,SBBR,14:00:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,1.0,1,2006,28,04
26999,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,LONDRINA,PR,BRAZIL,SBLO,22:06:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,1.0,1,2006,18,05
27059,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,PORTO ALEGRE,RS,BRAZIL,SSBN,13:10:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,02,06
27060,SERIOUS INCIDENT,SYSTEM / COMPONENT FAILURE,CASCAVEL,PR,BRAZIL,SBCA,20:48:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,1.0,1,2006,27,05
27081,SERIOUS INCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,COARI,AM,BRAZIL,SJQY,13:00:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2006,27,01
27140,SERIOUS INCIDENT,AIR TRAFFIC,NÃO IDENTIFICADA,SP,BRAZIL,Nao informado,12:40:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2006,16,05
27162,SERIOUS INCIDENT,ABOUT LANDING GEAR,BELO HORIZONTE,MG,BRAZIL,SBPR,18:40:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2006,27,05
27180,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,BELO HORIZONTE,MG,BRAZIL,Nao informado,23:27:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,1.0,1,2006,21,06
27260,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ALMEIRIM,PA,BRAZIL,Nao informado,13:20:00,YES,SERIPA-1,IN PROGRESS,UNKNOWN,1,0.0,1,2006,28,06
27261,ACCIDENT,LOSS OF CONTROL IN THE AIR,ALENQUER,PA,BRAZIL,Nao informado,11:15:00,YES,SERIPA-1,IN PROGRESS,UNKNOWN,1,0.0,1,2006,27,06
27302,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,MANAUS,AM,BRAZIL,SWFN,14:35:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2006,15,02
27306,ACCIDENT,ANOTHER TYPES,JUTAÍ,AM,BRAZIL,Nao informado,16:15:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2006,06,07
27347,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,DUQUE DE CAXIAS,RJ,BRAZIL,Nao informado,12:10:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2006,18,07
27356,SERIOUS INCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,LUZIÂNIA,GO,BRAZIL,SWUZ,15:42:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,11,06
27375,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,IGREJA NOVA,AL,BRAZIL,Nao informado,19:40:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2006,29,07
27389,SERIOUS INCIDENT,HARD LANDING,NÃO IDENTIFICADA,GO,BRAZIL,Nao informado,14:00:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,30,06
27409,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,PIRENÓPOLIS,GO,BRAZIL,Nao informado,19:43:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,24,06
27410,SERIOUS INCIDENT,ABOUT LANDING GEAR,PARINTINS,AM,BRAZIL,SWPI,10:40:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2006,03,07
27449,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SÃO PAULO,SP,BRAZIL,Nao informado,00:20:00,YES,SERIPA-4,FINISHED,2010-07-01,1,0.0,1,2006,10,08
27469,ACCIDENT,LOSS OF CONTROL IN THE AIR,BORBA,AM,BRAZIL,Nao informado,14:30:00,YES,SERIPA-7,FINISHED,2014-10-14,1,0.0,1,2006,24,08
27489,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ARAGUARI,MG,BRAZIL,Nao informado,16:50:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2006,16,08
27490,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,WENCESLAU GUIMARÃES,BA,BRAZIL,Nao informado,16:00:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2006,23,07
27531,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,JOINVILLE,SC,BRAZIL,Nao informado,13:00:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,20,08
27532,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,CAMPO GRANDE,MS,BRAZIL,SBCG,14:55:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,1.0,1,2006,09,08
27569,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,MONTE ALEGRE,PA,BRAZIL,Nao informado,20:00:00,YES,SERIPA-1,IN PROGRESS,UNKNOWN,1,0.0,1,2006,02,05
27633,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,PORTO VELHO,RO,BRAZIL,SBPV,12:56:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2006,20,08
27668,ACCIDENT,LOSS OF CONTROL ON THE GROUND,JUIZ DE FORA,MG,BRAZIL,SBJF,17:45:00,YES,SERIPA-3,FINISHED,2016-03-18,1,1.0,1,2006,14,09
27671,SERIOUS INCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,SÃO PAULO,SP,BRAZIL,SBSP,16:48:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2006,08,08
27689,ACCIDENT,AIRCRAFTS COLLISION ON THE GROUND,SÃO PAULO,SP,BRAZIL,SBMT,12:05:00,YES,SERIPA-4,FINISHED,2010-07-15,1,0.0,1,2006,04,09
27690,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CAMPO MOURÃO,PR,BRAZIL,Nao informado,17:40:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,25,09
27709,ACCIDENT,ABOUT LANDING GEAR,BOA VISTA,RR,BRAZIL,SBBV,18:09:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2006,22,09
27729,SERIOUS INCIDENT,AIRCRAFT HIT BY OBJECT,RIO DE JANEIRO,RJ,BRAZIL,Nao informado,00:00:00,YES,CENIPA,IN PROGRESS,UNKNOWN,1,0.0,1,2006,12,07
27730,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,NÃO IDENTIFICADA,SP,BRAZIL,Nao informado,15:00:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2006,27,08
27809,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,BAGRE,PA,BRAZIL,Nao informado,13:26:00,YES,SERIPA-1,FINISHED,2010-04-28,1,0.0,1,2006,14,08
27811,ACCIDENT,LOSS OF CONTROL IN THE AIR,SÃO MIGUEL DO TAPUIO,PI,BRAZIL,Nao informado,14:05:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2006,04,09
27812,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,SÃO JOÃO DO CARÚ,MA,BRAZIL,Nao informado,15:54:00,YES,SERIPA-1,FINISHED,2010-07-01,1,0.0,1,2006,27,09
27813,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,CURITIBA,PR,BRAZIL,Nao informado,11:35:00,YES,CENIPA,IN PROGRESS,UNKNOWN,1,1.0,1,2006,19,09
27834,ACCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,PINHEIRO,MA,BRAZIL,Nao informado,20:30:00,YES,SERIPA-1,FINISHED,2009-07-31,1,0.0,1,2006,02,10
27852,ACCIDENT,ABOUT LANDING GEAR,BRASÍLIA,DF,BRAZIL,SBBR,13:17:00,YES,CENIPA,IN PROGRESS,UNKNOWN,1,0.0,1,2006,16,06
27853,ACCIDENT,SLOW LANDING,ANAPU,PA,BRAZIL,Nao informado,18:30:00,YES,SERIPA-1,IN PROGRESS,UNKNOWN,1,0.0,1,2006,15,09
27932,ACCIDENT,HARD LANDING,GAVIÃO PEIXOTO,SP,BRAZIL,Nao informado,00:15:00,UNKNOWN,SERIPA-4,DESCONHECIDO,UNKNOWN,1,0.0,1,2006,22,02
27933,SERIOUS INCIDENT,EXPLOSIVE / NOT INTENTIONAL DECOMPRESSION,NÃO IDENTIFICADA,RS,BRAZIL,Nao informado,02:35:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,06,11
27935,ACCIDENT,ANOTHER TYPES,VITÓRIA,ES,BRAZIL,SBVT,22:48:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2006,13,10
27952,ACCIDENT,LOSS OF CONTROL IN THE AIR,GOIÂNIA,GO,BRAZIL,Nao informado,15:00:00,YES,SERIPA-6,FINISHED,2016-06-06,1,0.0,1,2006,19,11
27953,ACCIDENT,LOSS OF CONTROL IN THE AIR,SÃO PAULO,SP,BRAZIL,SDWT,19:30:00,YES,SERIPA-4,FINISHED,2012-08-08,1,0.0,1,2006,22,10
28015,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,BRASÍLIA,DF,BRAZIL,Nao informado,20:00:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,19,10
28016,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,VACARIA,RS,BRAZIL,Nao informado,16:30:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,08,11
28033,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,RIO GRANDE,RS,BRAZIL,Nao informado,10:15:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,23,11
28053,ACCIDENT,LOSS OF CONTROL IN THE AIR,GOIÂNIA,GO,BRAZIL,SBGO,12:58:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,16,11
28073,ACCIDENT,SLOW LANDING,FONTE BOA,AM,BRAZIL,SWOB,10:50:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,1.0,1,2006,01,12
28093,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,BRASÍLIA,DF,BRAZIL,Nao informado,16:00:00,YES,SERIPA-6,FINISHED,2009-12-30,1,0.0,1,2006,10,12
28094,ACCIDENT,LOSS OF CONTROL IN THE AIR,IBIÚNA,SP,BRAZIL,Nao informado,17:00:00,YES,SERIPA-4,FINISHED,2012-02-22,1,0.0,1,2006,19,11
28096,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,BENTO GONÇALVES,RS,BRAZIL,Nao informado,20:30:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,12,11
28114,ACCIDENT,INVOLUNTARY ENGINE CUT OFF,BAURU,SP,BRAZIL,SBBU,16:00:00,YES,SERIPA-4,FINISHED,2011-12-21,1,0.0,1,2006,25,11
28115,SERIOUS INCIDENT,LOSS OF CONTROL ON THE GROUND,NÃO IDENTIFICADA,SP,BRAZIL,Nao informado,09:07:00,YES,CENIPA,IN PROGRESS,UNKNOWN,1,1.0,1,2006,06,10
28117,ACCIDENT,ANOTHER TYPES,SÃO GABRIEL DO OESTE,MS,BRAZIL,Nao informado,17:00:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2006,14,11
28133,SERIOUS INCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,CARAZINHO,RS,BRAZIL,Nao informado,21:40:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,17,12
28155,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,RIO DE JANEIRO,RJ,BRAZIL,Nao informado,18:30:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2006,19,12
28156,SERIOUS INCIDENT,TIRE BURST,BELÉM,PA,BRAZIL,SBBE,17:40:00,YES,SERIPA-1,IN PROGRESS,UNKNOWN,1,0.0,1,2006,16,12
28173,ACCIDENT,LOSS OF CONTROL IN THE AIR,SORRISO,MT,BRAZIL,Nao informado,17:00:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,11,12
28193,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,MARABÁ,PA,BRAZIL,Nao informado,20:20:00,YES,SERIPA-1,IN PROGRESS,UNKNOWN,1,0.0,1,2006,09,12
28235,SERIOUS INCIDENT,AIR TRAFFIC,MANAUS,AM,BRAZIL,SBEG,09:10:00,YES,SERIPA-7,IN PROGRESS,UNKNOWN,1,0.0,1,2006,12,12
28236,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,NÃO IDENTIFICADA,MT,BRAZIL,Nao informado,12:10:00,YES,SERIPA-6,IN PROGRESS,UNKNOWN,1,0.0,1,2006,13,12
28256,ACCIDENT,LOW ALTITUDE MANEUVERS,MOGI GUAÇU,SP,BRAZIL,Nao informado,11:30:00,YES,SERIPA-4,FINISHED,2012-10-17,1,0.0,1,2007,07,01
28335,ACCIDENT,TERRAIN COLLISION,LONDRINA,PR,BRAZIL,Nao informado,12:30:00,YES,SERIPA-5,FINISHED,2013-12-16,1,0.0,1,2007,19,01
28355,ACCIDENT,STRUCTURAL FAILURE,BOCAIÚVA,MG,BRAZIL,Nao informado,09:10:00,YES,SERIPA-3,FINISHED,2010-03-19,1,0.0,1,2007,18,01
28375,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,APUCARANA,PR,BRAZIL,Nao informado,18:15:00,YES,SERIPA-5,FINISHED,2007-08-15,1,0.0,1,2007,26,01
28376,ACCIDENT,LOSS OF CONTROL IN THE AIR,MOSTARDAS,RS,BRAZIL,Nao informado,13:30:00,YES,SERIPA-5,IN PROGRESS,UNKNOWN,1,0.0,1,2006,30,12
28377,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,IMPERATRIZ,MA,BRAZIL,Nao informado,11:18:00,YES,SERIPA-1,FINISHED,2009-11-16,1,0.0,1,2007,27,01
28379,ACCIDENT,TERRAIN COLLISION,FORMOSA DO RIO PRETO,BA,BRAZIL,Nao informado,09:40:00,YES,SERIPA-2,FINISHED,2012-02-22,1,0.0,1,2007,31,01
28381,ACCIDENT,UNKNOWN,CATANDUVA,SP,BRAZIL,Nao informado,03:00:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2007,20,01
28395,ACCIDENT,STRUCTURAL FAILURE,CHAPADA DOS GUIMARÃES,MT,BRAZIL,Nao informado,10:10:00,YES,SERIPA-6,FINISHED,2011-12-21,1,0.0,1,2007,07,02
28437,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,FERNANDO DE NORONHA,PE,BRAZIL,Nao informado,20:45:00,YES,SERIPA-2,FINISHED,2014-06-02,1,0.0,1,2007,16,02
28455,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,BALSAS,MA,BRAZIL,Nao informado,18:30:00,YES,SERIPA-1,FINISHED,2009-04-27,1,0.0,1,2007,23,02
28475,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,ARCOVERDE,PE,BRAZIL,Nao informado,16:30:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2007,30,01
28575,ACCIDENT,LOSS OF CONTROL IN THE AIR,IGUATU,CE,BRAZIL,SNIG,19:16:00,YES,SERIPA-2,FINISHED,2008-07-02,1,0.0,1,2007,09,02
28615,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,ITABORAÍ,RJ,BRAZIL,Nao informado,15:50:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2007,27,03
28617,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,SÃO SEBASTIÃO DO PASSÉ,BA,BRAZIL,Nao informado,16:55:00,YES,SERIPA-2,FINISHED,2009-07-31,1,0.0,1,2007,14,03
28636,ACCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,COXIM,MS,BRAZIL,Nao informado,17:00:00,YES,SERIPA-4,IN PROGRESS,UNKNOWN,1,0.0,1,2007,28,03
28735,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,RAPOSA,MA,BRAZIL,Nao informado,20:15:00,YES,SERIPA-1,IN PROGRESS,UNKNOWN,1,0.0,1,2007,31,03
28775,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,CARACARAÍ,RR,BRAZIL,Nao informado,17:15:00,YES,SERIPA-1,FINISHED,2013-09-13,1,0.0,1,2007,31,03
28795,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,GOIÂNIA,GO,BRAZIL,SBGO,14:06:00,YES,SERIPA-6,FINISHED,2014-08-15,1,0.0,1,2007,04,04
28815,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,FERROS,MG,BRAZIL,Nao informado,12:30:00,YES,SERIPA-3,IN PROGRESS,UNKNOWN,1,0.0,1,2007,07,04
28915,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,COLATINA,ES,BRAZIL,Nao informado,06:10:00,YES,SERIPA-3,FINISHED,2010-11-12,1,0.0,1,2007,16,04
28935,ACCIDENT,LOSS OF CONTROL ON THE GROUND,LENÇÓIS,BA,BRAZIL,SBLE,10:00:00,YES,SERIPA-2,FINISHED,2012-02-22,1,0.0,1,2007,11,04
28955,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,CORURIPE,AL,BRAZIL,Nao informado,08:40:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2007,01,02
29095,ACCIDENT,ABOUT PROPELLER,ANAJÁS,PA,BRAZIL,Nao informado,12:25:00,YES,SERIPA-1,FINISHED,2009-09-29,1,0.0,1,2007,08,02
29159,SERIOUS INCIDENT,LANDING WITHOUT LANDING GEAR,IRECÊ,BA,BRAZIL,SNIC,20:00:00,YES,SERIPA-2,IN PROGRESS,UNKNOWN,1,0.0,1,2007,15,01
29161,SERIOUS INCIDENT,SLOW LANDING,FORTALEZA,CE,BRAZIL,SBFZ,08:55:00,YES,SERIPA-7,FINISHED,UNKNOWN,1,1.0,1,2007,21,04
